Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,320.434998,320.434998,257.612000,294.337006,294.337006,196656000
2015-01-08,294.135010,294.135010,171.509995,178.102997,178.102997,261529108
2015-01-15,176.897003,229.067001,176.897003,226.897003,226.897003,246383304
2015-01-22,227.322006,309.384003,225.195999,233.914993,233.914993,312076700
2015-01-29,233.348007,245.957001,212.014999,226.852997,226.852997,209285400
2015-02-05,227.664993,239.404999,214.725006,219.184998,219.184998,151809400
2015-02-12,219.207993,265.610992,217.613998,236.326004,236.326004,244953100
2015-02-19,236.410004,255.320007,232.421005,237.470001,237.470001,116055000
2015-02-26,237.337006,285.795990,234.257004,273.092010,273.092010,229106300
2015-03-05,272.739014,300.044006,264.769012,296.378998,296.378998,271028000
2015-03-12,296.127014,297.088013,249.869995,256.299011,256.299011,198610400
2015-03-19,255.880005,277.296997,236.514999,246.197006,246.197006,205509400
2015-03-26,246.276001,256.811005,239.214005,247.272003,247.272003,149304000
2015-04-02,247.089005,261.798004,244.214996,245.022003,245.022003,150149900
2015-04-09,244.751007,246.117996,216.322998,223.832993,223.832993,164741400
2015-04-16,223.917007,237.908997,220.876007,234.175995,234.175995,140386300
2015-04-23,234.052994,236.475006,214.873993,225.807999,225.807999,160365300
2015-04-30,225.692993,243.240005,224.992996,229.781998,229.781998,158403200
2015-05-07,229.662003,247.804001,228.572998,236.376999,236.376999,158674500
2015-05-14,236.214005,238.753006,231.817001,234.018005,234.018005,109488700
2015-05-21,234.016006,241.977997,233.835007,237.283005,237.283005,117910800
2015-05-28,237.257004,237.824005,221.296005,225.873993,225.873993,121765900
2015-06-04,225.772003,230.953995,222.651993,228.802994,228.802994,124870800
2015-06-11,228.854996,256.852997,228.766998,249.283997,249.283997,159287400
2015-06-18,249.427994,252.108002,240.514999,240.514999,240.514999,136300600
2015-06-25,240.365005,267.867004,240.365005,258.621002,258.621002,172049300
2015-07-02,258.552002,277.421997,253.505005,270.785004,270.785004,215354800
2015-07-09,270.826996,314.394012,267.085999,285.829010,285.829010,356473800
2015-07-16,286.041992,291.183014,272.042999,277.221985,277.221985,182625500
2015-07-23,277.341003,297.773987,275.253998,289.589996,289.589996,173143400
2015-07-30,289.102997,290.126007,277.528992,281.881989,281.881989,145492900
2015-08-06,281.906006,281.906006,260.467987,266.376007,266.376007,216828200
2015-08-13,266.183014,267.466003,211.078995,226.684006,226.684006,228449100
2015-08-20,226.899002,237.365005,199.567001,225.830994,225.830994,249179200
2015-08-27,226.050003,235.218994,220.925995,229.283997,229.283997,149843400
2015-09-03,229.324005,245.781006,226.667007,238.167999,238.167999,156296600
2015-09-10,238.335999,259.182007,227.401993,229.091003,229.091003,137201400
2015-09-17,229.076004,234.352997,225.117004,230.283005,230.283005,128277100
